Key_Dataset;Key_Run;Key_Fold;Percent_correct;Percent_incorrect;;;;;;
soybean;1;1;89,85507246;10,14492754;;;;;;
soybean;1;2;92,75362319;7,246376812;;;;;;
soybean;1;3;91,30434783;8,695652174;;;;;;
soybean;1;4;89,70588235;10,29411765;;;;;;
soybean;1;5;97,05882353;2,941176471;;;;;;
soybean;1;6;88,23529412;11,76470588;;;10,14492754;;;
soybean;1;7;92,64705882;7,352941176;;;7,246376812;;;
soybean;1;8;89,70588235;10,29411765;;;8,695652174;;;
soybean;1;9;91,17647059;8,823529412;;;10,29411765;;;
soybean;1;10;92,64705882;7,352941176;;;2,941176471;;;
;;;;;;;11,76470588;;;
;;0,06721875;;8,491048594;0,084910486;;7,352941176;;;
;;;;2,473134205;0,024731342;;10,29411765;;;
;;;;1,769173633;;;8,823529412;;;
;;;;;;;7,352941176;;;
;;;;;;;11,5942029;;;
soybean;2;1;88,4057971;11,5942029;;;5,797101449;;8,823529412;<- para esto hago la formula del promedio (=POMEDIO(y aquí todos los numeros))
soybean;2;2;94,20289855;5,797101449;;;11,5942029;;0,088235294;
soybean;2;3;88,4057971;11,5942029;;;10,29411765;;;
soybean;2;4;89,70588235;10,29411765;;;13,23529412;;;
soybean;2;5;86,76470588;13,23529412;;;5,882352941;;3,385182472;<- para este hago la desviacion estandar con desvest de los 40 numeros
soybean;2;6;94,11764706;5,882352941;;;8,823529412;;0,033851825;
soybean;2;7;91,17647059;8,823529412;;;8,823529412;;;
soybean;2;8;91,17647059;8,823529412;;;14,70588235;;0,010826339;<- esta es la t de student, donde tengo que poner el valor del 1-%n, es decir, no tengo que poner el zn
soybean;2;9;85,29411765;14,70588235;;;7,352941176;;     ^;
soybean;2;10;92,64705882;7,352941176;;;7,246376812;;     |;
;;;;;;;7,246376812;;Tengo que sumarselo y restarselo a la tasa de error media y tengo el intervalo;
;;;;9,810315431;;;10,14492754;;;
;;;;;;;13,23529412;;;
;;;;;;;8,823529412;;;
;;;;;;;8,823529412;;;
;;;;;;;5,882352941;;;
;;;;;;;7,352941176;;;
soybean;3;1;92,75362319;7,246376812;;;4,411764706;;;
soybean;3;2;92,75362319;7,246376812;;;17,64705882;;;
soybean;3;3;89,85507246;10,14492754;;;8,695652174;;;
soybean;3;4;86,76470588;13,23529412;;;2,898550725;;;
soybean;3;5;91,17647059;8,823529412;;;8,695652174;;;
soybean;3;6;91,17647059;8,823529412;;;7,352941176;;;
soybean;3;7;94,11764706;5,882352941;;;13,23529412;;;
soybean;3;8;92,64705882;7,352941176;;;7,352941176;;;
soybean;3;9;95,58823529;4,411764706;;;5,882352941;;;
soybean;3;10;82,35294118;17,64705882;;;2,941176471;;;
;;;;;;;5,882352941;;;
;;;;9,081415175;;;16,17647059;;;
;;;;0,090814152;;;;;;
;;;;;;;;;;
;;;;;;;8,823529412;3,385182472;;
;;;;;;;0,088235294;0,033851825;;0,010826339
;;;;;;;;;;0,077408955
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
soybean;4;1;91,30434783;8,695652174;;;;;;
soybean;4;2;97,10144928;2,898550725;;;;;;
soybean;4;3;91,30434783;8,695652174;;;;;;
soybean;4;4;92,64705882;7,352941176;;;;;;
soybean;4;5;86,76470588;13,23529412;;;;;;
soybean;4;6;92,64705882;7,352941176;;;;;;
soybean;4;7;94,11764706;5,882352941;;;;;;
soybean;4;8;97,05882353;2,941176471;;;;;;
soybean;4;9;94,11764706;5,882352941;;;;;;
soybean;4;10;83,82352941;16,17647059;;;;;;
;;;;;;;;;;
;;;;7,911338449;;;;;;
;;;;0,079113384;;;;;;
