Key_Dataset;Key_Run;Key_Fold;Number_unclassified;Percent_correct;Percent_incorrect;;;;;;
vote;1;1;0;97,72727273;2,272727273;;;;;;
vote;1;2;0;88,63636364;11,36363636;;;;;;
vote;1;3;0;100;0;;;;;;
vote;1;4;0;97,72727273;2,272727273;;;;;;
vote;1;5;0;93,18181818;6,818181818;;;;;;
vote;1;6;0;97,6744186;2,325581395;;;2,272727273;;;
vote;1;7;0;97,6744186;2,325581395;;;11,36363636;;;
vote;1;8;0;100;0;;;0;;;
vote;1;9;0;95,34883721;4,651162791;;;2,272727273;;;
vote;1;10;0;95,34883721;4,651162791;;;6,818181818;;;
;;;;;;;;2,325581395;;;
;;;0,061171319;;3,66807611;0,036680761;;2,325581395;;;
;;;;;3,423543939;0,034235439;;0;;;
;;;;;2,4490558;;;4,651162791;;;
;;;;;;;;4,651162791;;;
;;;;;;;;6,818181818;;;
vote;2;1;0;93,18181818;6,818181818;;;4,545454545;;;
vote;2;2;0;95,45454545;4,545454545;;;2,272727273;;;
vote;2;3;0;97,72727273;2,272727273;;;0;;;
vote;2;4;0;100;0;;;0;;;
vote;2;5;0;100;0;;;6,976744186;;;
vote;2;6;0;93,02325581;6,976744186;;;0;;;
vote;2;7;0;100;0;;;4,651162791;;;
vote;2;8;0;95,34883721;4,651162791;;;4,651162791;;;
vote;2;9;0;95,34883721;4,651162791;;;2,325581395;;;
vote;2;10;0;97,6744186;2,325581395;;;4,545454545;;;
;;;;;;;;0;;;
;;;;;3,22410148;;;2,272727273;;;
;;;;;0,032241015;;;2,272727273;;;
;;;;;;;;0;;;
;;;;;;;;4,651162791;;;
;;;;;;;;6,976744186;;;
;;;;;;;;4,651162791;;;
vote;3;1;0;95,45454545;4,545454545;;;6,976744186;;;
vote;3;2;0;100;0;;;4,651162791;;;
vote;3;3;0;97,72727273;2,272727273;;;0;;;
vote;3;4;0;97,72727273;2,272727273;;;4,545454545;;;
vote;3;5;0;100;0;;;4,545454545;;;
vote;3;6;0;95,34883721;4,651162791;;;6,818181818;;;
vote;3;7;0;93,02325581;6,976744186;;;0;;;
vote;3;8;0;95,34883721;4,651162791;;;6,976744186;;;
vote;3;9;0;93,02325581;6,976744186;;;2,325581395;;;
vote;3;10;0;95,34883721;4,651162791;;;2,325581395;;;
;;;;;;;;2,325581395;;;
;;;;;3,699788584;;;4,651162791;;;
;;;;;0,036997886;;;;;;
;;;;;;;;;;;
;;;;;;;;3,510835095;2,699686241;;
;;;;;;;;0,035108351;0,026996862;;0,008634015
;;;;;;;;;;;0,026474335
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
vote;4;1;0;100;0;;;;;;
vote;4;2;0;95,45454545;4,545454545;;;;;;
vote;4;3;0;95,45454545;4,545454545;;;;;;
vote;4;4;0;93,18181818;6,818181818;;;;;;
vote;4;5;0;100;0;;;;;;
vote;4;6;0;93,02325581;6,976744186;;;;;;
vote;4;7;0;97,6744186;2,325581395;;;;;;
vote;4;8;0;97,6744186;2,325581395;;;;;;
vote;4;9;0;97,6744186;2,325581395;;;;;;
vote;4;10;0;95,34883721;4,651162791;;;;;;
;;;;;;;;;;;
;;;;;3,451374207;;;;;;
;;;;;0,034513742;;;;;;
